"burst_","x1_","x2_","y1_","y2_","sl_","ta_","t1_","t2_","dt_","tod_end_","step_id_","case_","wet","log_sl_"
16,1780409.7261543598,1780469.1941156883,2412414.53159594,2412224.1277839737,199.4744345418391,NA,"2010/02/10 03:00:35","2010/02/10 03:10:39","10.0666666666667","night",1,TRUE,1,5.295686080458351
16,1780409.7261543598,1780663.3580157955,2412414.53159594,2412454.644682266,256.7843079901537,1.4249260283499583,"2010/02/10 03:00:35","2010/02/10 03:10:39","10.0666666666667","night",1,FALSE,0,5.548236463991415
16,1780409.7261543598,1780415.1349239883,2412414.53159594,2412418.5993844094,6.76769472769554,1.9128968382632847,"2010/02/10 03:00:35","2010/02/10 03:10:39","10.0666666666667","night",1,FALSE,0,1.9121605160407191
16,1780409.7261543598,1780496.501111069,2412414.53159594,2412499.4471395575,121.41063651823632,2.0426390204970115,"2010/02/10 03:00:35","2010/02/10 03:10:39","10.0666666666667","night",1,FALSE,1,4.799178490258855
16,1780409.7261543598,1780449.2199713115,2412414.53159594,2412359.674024823,67.59522680073317,0.32125355677983736,"2010/02/10 03:00:35","2010/02/10 03:10:39","10.0666666666667","night",1,FALSE,1,4.213537371099344
16,1780409.7261543598,1780447.3936043931,2412414.53159594,2412398.2324591232,41.04264432235801,0.8596863236037615,"2010/02/10 03:00:35","2010/02/10 03:10:39","10.0666666666667","night",1,FALSE,1,3.7146116315928044
16,1780409.7261543598,1780541.1995634204,2412414.53159594,2412336.219520972,153.02953432516185,0.7308559742555758,"2010/02/10 03:00:35","2010/02/10 03:10:39","10.0666666666667","night",1,FALSE,1,5.030630937568594
16,1780409.7261543598,1780424.3453568409,2412414.53159594,2412406.5180486687,16.67147327164889,0.7666470534840639,"2010/02/10 03:00:35","2010/02/10 03:10:39","10.0666666666667","night",1,FALSE,0,2.813699071480751
16,1780409.7261543598,1780360.5728519016,2412414.53159594,2412419.71845461,49.42621415210665,-1.978657218501712,"2010/02/10 03:00:35","2010/02/10 03:10:39","10.0666666666667","night",1,FALSE,0,3.9004809343008637
16,1780409.7261543598,1780697.510515325,2412414.53159594,2412271.5276297936,321.3564574576848,0.8068950114484691,"2010/02/10 03:00:35","2010/02/10 03:10:39","10.0666666666667","night",1,FALSE,0,5.772550966395808
16,1780469.1941156883,1780468.4410960225,2412224.1277839737,2412230.092848462,6.012406586993463,2.9644408576522956,"2010/02/10 03:10:39","2010/02/10 03:20:10","9.50001666545868","night",2,TRUE,1,1.7938250988444038
16,1780469.1941156883,1780210.3345708589,2412224.1277839737,2412106.519831405,284.3235735155378,1.871672122048193,"2010/02/10 03:10:39","2010/02/10 03:20:10","9.50001666545868","night",2,FALSE,0,5.650112932966699
16,1780469.1941156883,1780443.192585249,2412224.1277839737,2412254.891565833,40.28014224730631,0.5761263986809493,"2010/02/10 03:10:39","2010/02/10 03:20:10","9.50001666545868","night",2,FALSE,1,3.695858599306547
16,1780469.1941156883,1780411.8561616049,2412224.1277839737,2412266.1171333124,71.06860373158037,0.8131370291091965,"2010/02/10 03:10:39","2010/02/10 03:20:10","9.50001666545868","night",2,FALSE,1,4.263645660263095
16,1780469.1941156883,1780468.6050840176,2412224.1277839737,2412221.3474800587,2.8420148082368195,2.807246831219864,"2010/02/10 03:10:39","2010/02/10 03:20:10","9.50001666545868","night",2,FALSE,1,1.0445132401598634
16,1780469.1941156883,1780357.5932555061,2412224.1277839737,2412199.3156121415,114.3258320084538,1.663993503202378,"2010/02/10 03:10:39","2010/02/10 03:20:10","9.50001666545868","night",2,FALSE,1,4.739052547089943
16,1780469.1941156883,1780448.714596089,2412224.1277839737,2412215.263955959,22.315424488191315,1.8536929882940743,"2010/02/10 03:10:39","2010/02/10 03:20:10","9.50001666545868","night",2,FALSE,1,3.105278120449772
16,1780469.1941156883,1780574.4137585736,2412224.1277839737,2412241.785701123,106.69102720921317,-1.5301001661313194,"2010/02/10 03:10:39","2010/02/10 03:20:10","9.50001666545868","night",2,FALSE,1,4.669937061137274
16,1780469.1941156883,1780496.7165045717,2412224.1277839737,2412095.3867901014,131.65001098794423,-3.0565559167201832,"2010/02/10 03:10:39","2010/02/10 03:20:10","9.50001666545868","night",2,FALSE,1,4.8801469694056205
16,1780469.1941156883,1780534.604717253,2412224.1277839737,2412150.431410534,98.5378214455695,-2.5412622949322583,"2010/02/10 03:10:39","2010/02/10 03:20:10","9.50001666545868","night",2,FALSE,1,4.590440448545562
16,1780468.4410960225,1780479.6286337376,2412230.092848462,2412212.555622028,20.80181028465631,-2.6993228106743272,"2010/02/10 03:20:10","2010/02/10 03:30:24","10.2333333333333","night",3,TRUE,1,3.0350400158362967
16,1780468.4410960225,1780494.8707728588,2412230.092848462,2412139.011501482,94.83849210799823,-0.285423584085275,"2010/02/10 03:20:10","2010/02/10 03:30:24","10.2333333333333","night",3,FALSE,1,4.552175361745611
16,1780468.4410960225,1780352.0303204027,2412230.092848462,2412312.3772389893,142.55591746702413,-2.7539454949349333,"2010/02/10 03:20:10","2010/02/10 03:30:24","10.2333333333333","night",3,FALSE,0,4.9597343260160365
